"eventID","occurrenceID","measurementType","measurementValue","measurementRemarks"
"SCBI_014.20230327","6f663980-d1c6-47a2-9dd9-212bc913f4e6","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","eed03fc7-d0b6-42db-bd6b-958f342baf51","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","dcaa684c-0941-45d0-b8c2-aa5a64d18082","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","85d0613d-f133-4bf9-a013-2da0b2a2a6e4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","500b0715-0029-42be-8495-5691b719a282","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","73bb5957-0867-47be-8ebe-8650466b8887","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","711ef082-623e-4e55-913a-cf540ea36182","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","82f037e2-cb6a-4b28-ad0b-246723bf6a6b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","ac04f5c3-7ce0-466a-aa9a-84f5f7ba5194","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","d8d39964-8282-4868-b445-f4113d67738b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","dd1653f0-6b29-461f-9d46-9416b0a69bdc","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","3935742c-eec5-4b6c-a5e9-1b60e94cb440","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","fa7ac046-5e00-4911-ae1d-6f133a76e3d7","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","4490de9e-2751-4111-b6f1-fcfca660b2e6","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","7c03235b-7eab-4a3b-bb2f-985ced9359e4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","0e47e849-c7a1-40d9-8841-77ea3c4eb4a4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","81711db3-e676-4248-b783-8b0fbfbe433d","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","81d7349b-4e67-457b-a526-4f7f5d203fdd","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","2d72fdcc-7c6d-437a-9ea7-ef8741a7ce6e","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","1c4d0213-4c76-4462-b1a9-e469446e6621","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","487bb835-c255-42b7-8d5c-96c6c5a1b319","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","1d5ca77a-a7ed-4e56-9319-f4b33b09c3d5","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","57d8eed9-c457-4199-807b-3edf97ace4dd","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","a7450bbf-bd1e-4f33-bc8f-1aa6d574d490","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","f6b5b931-6544-41d6-b5f4-1627e1d5094e","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","ddce4b45-48da-4155-ab6e-378ba215b328","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","124a7050-af08-4d7c-8d70-80a5f8b52565","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","2545e631-c075-4641-b883-43da945bf6ec","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","3d733660-6787-4fdf-8e7f-85267280e85c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","3c37e36f-b231-4de7-8fc2-7a36f274add5","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","4d554bb9-7ad1-4c5e-a1ff-ba33739e0790","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","fe571500-0754-4633-ba91-23ba8558df21","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230327","685dafe6-3478-417c-8d03-922f9c5a254e","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","6d3908bc-4ced-4f19-8c3c-ceedb3b90647","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","1a48dd5b-8f95-4147-9ffa-f3d5be4a7fa3","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0a8ae2d4-a7aa-4c34-8076-f9ef66cc1331","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","541a0b83-afef-4566-bb11-387c5628da92","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","6565bc13-5bd8-45bc-9861-168bfef87042","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","90b0de16-e275-4e5f-b211-72d298ea4940","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9475a833-7499-4272-a18b-f01ec20c0888","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","e2bc8d68-538f-4870-8423-02c5427d1ff9","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","6f9bec01-4eab-4c71-b645-318e93103186","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","ba774364-e313-49e3-bb00-62f85ef2ca79","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0fc51e5d-d26d-4cd1-91ef-454703bee487","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","ecd53ccf-63db-463d-8655-bceef8ca663e","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","00e652ae-b559-4f0b-a111-6211528e3bd6","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9d28f800-d1fe-4f7d-b114-c1e4ef137b45","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","20a3e6c7-16a9-46dc-bade-e142a49cfb52","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","bdb8c8c6-f6f7-4b1d-9af5-b150cf666266","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","94bf3a69-a491-43ef-a957-c801fcdc74ba","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","b307470a-b63f-44b3-b590-28a66bc91968","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9c47f0cc-8479-4741-aee4-74110f0053f7","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","aa690194-1c90-400e-812e-bd40687301b2","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","7531433e-cf1e-4d15-a677-b47b4ab70c1c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c576cfae-7386-4f55-80e0-02c8949b2570","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","373b9654-fa2d-4ed1-82dd-6b57bb71bcc0","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","09709603-d6fd-4b49-8084-b47b3ab91658","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","97963cd8-2482-4010-b70b-59b796bdf3eb","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c98c4029-ce79-468b-aa77-8ab8744862b4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","8c042463-c43b-4839-93ce-935dcaac40fd","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4e0fec71-9885-4f31-98f2-fcf78292822b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c6443530-b26c-4d88-b72e-a1f98a4786d4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4fdcc705-f74f-43a2-b423-a40d7a6a843f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4e5c0b98-2b2b-4cba-baf8-c5cd25184c3a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a222a062-8349-477b-862d-261465a4c815","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","e23a62d6-6579-4a18-abc5-a14646e2e07f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c447cc27-1079-4e41-aa37-69ef91bb56d5","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","964a8e0a-f1a8-4df9-8fec-eb405339eca0","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","7ff8af2a-7081-4ebb-951c-888d10b3499d","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","2b90bc7f-37b6-4239-9bee-38d9a31f1d5d","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","2df0d7ce-d960-464a-9a50-0e3868cde921","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","bda434f6-ae18-4a4d-aca8-d7e7310c7bb3","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a0d30563-42d0-4829-86b3-0fdbe7246983","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","aa40c5c3-5951-4f77-924d-c5bc5401563f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c8f3f258-b3b1-4684-acf8-de0f038daa14","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","f138daf4-e13e-4605-b38a-fb28be4bae69","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","27877479-0111-41a6-ae70-71f9cad47add","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","b6600499-de2f-47d4-89cc-60d322eefb8f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a43d0660-1ba8-4fdc-b72a-56fe6df7a9db","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","e16acbd5-2084-4a3a-82d0-00aa6f728064","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","84aacc32-8535-497b-a171-48150623a74c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","75322b63-8492-41a4-b038-e69dedde52a9","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9b63e3c5-d7b9-476e-b12a-2e2efb912300","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","7a9058d9-1551-4df8-aba6-1c9a9229ae3a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","589cd27b-0217-4850-aae8-41719f84ee20","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","00f61418-f5b0-4718-909b-469c9e482616","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","43369ad0-8bb2-4a87-a177-b62ccc4c6b5c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","541bf31a-dfa9-4950-bbd1-9f2147eb4b19","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c4ee0370-0434-4d19-8712-8c7834ff2296","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","d48c08cf-9fe5-4319-98f7-c8b507f26614","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","ff223a67-1521-4d66-a2b5-1f61cccd37a4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","962b0898-aab0-411f-b3b3-660c32446495","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9ee64816-d0d8-42bb-bcff-a86cdaeaf554","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","26105f63-af3d-4848-9059-24ddd4a6a7d0","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","752de54f-7a58-4eb4-a084-587a8caf598e","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","d5e28c89-e230-4bc8-a439-f8524b75b053","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4721cbca-6e03-4d8e-8d07-25b69da60a62","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","01f61ca6-29e1-4157-80cf-5d3d41df3cb3","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","3dade47f-539d-415f-9624-0311ef5fa865","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c4c088ad-ee1e-476e-b36b-8ba4e25520b4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","f2bd8063-61c9-40ae-85c8-d78520b38f3d","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","31a16a1a-bd97-4fbb-b9f4-da383fcff261","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","d05fe8bd-7ca8-4242-baf5-321a9ccc8cda","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","ba528a54-c9ff-4a7b-b2b2-27b0a60eb4ef","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","cbddd55a-42ff-4b3d-8b1e-db4dc25de41d","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","5690a865-3b44-46e8-9e19-b90520780386","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","5ed89193-3e5e-4947-82a9-9fd8d3b423e6","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","be28b76c-f9b5-4ca8-8894-e8f067ad147b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","714153f0-7d38-417c-84e8-695110e77bf1","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","18a7cf53-2801-4801-8d8d-880a3a988b39","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0b3e734a-87ce-4bd1-9641-f8b1be28f9de","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","97949ca5-5d01-43c4-9aa2-b104575dc2ad","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","61b399d5-86e2-4a7f-a429-e28834cfc71a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","1c69295f-5ed0-4199-a532-3b3e48b32468","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","b3010f59-fbb2-4658-a654-db988f707004","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","fe4ac2b3-2ace-4145-80d0-51f2dd406cc1","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","708f5188-9c1e-43f5-9ff7-b7f7b1d3c5bc","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9d8a1f89-ba2b-4bab-b6e3-0197a1727a56","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","f800f4fb-264c-49fa-beba-f6a2d7c3a545","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","872ba958-b333-46af-980e-369393096c6a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c7faf263-4f36-49dd-a0da-b0e61a7e0097","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","5af4f043-ae03-416c-a57b-256d0a288df5","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","973769c9-909f-4a3e-8a3d-46b19ae2ff8c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","50a05486-3b89-4b59-a92b-6c501b91f3d7","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","52698db3-50cd-45a8-91d4-14b3ef1517d6","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9ae858e6-b4d9-44d6-aa05-19fa35c20f93","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","2dc56f7f-2917-4af0-be84-f29d9076dc9c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","411c6803-fd00-4790-b55b-08568de71934","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4713f95b-3bad-412b-8aea-58232abfd1a8","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","e6ddf42e-eec8-450f-adc4-04746f88d5e1","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","8545cc21-e3e7-4425-8091-7b5ae4e3cbfa","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","2c4b207b-58b0-4f59-aaa2-0defa04a4520","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","74e7a556-ff97-4eb0-a46d-2a2ba3ce1e99","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0e3259d2-06b3-4a57-ae9a-b43351b07321","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","ba94085f-837d-4cd8-9241-81f09de83a42","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","dcc569e0-a8b6-4602-ae91-4aa4ae7766cc","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4e0834e9-4399-441b-98e2-aa115873791a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","72ee2c2d-7b5c-431e-ac64-c96fc01935a2","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c427c62d-d1e6-408f-adf4-bc6cc1beeef4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","45e1c193-237b-4f7d-a72a-70627beca8e8","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","2434497b-9c5b-42b6-ad59-ee4336cf41f4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4e2290ec-61f5-491a-aa22-5bd997fabe58","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","25f3a1fe-71bf-4734-a939-ea181c8e5efd","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","03c3097e-5aae-4e1e-bce9-aa22302afa50","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","e4b3c34f-2744-4665-a373-127afcb7c4da","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","d1b13fe5-bdc4-4c31-91f1-66b31450c2b3","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","52b47a12-cdf2-47d8-b752-deba1be16b56","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4c25aa92-9ec5-40ab-9f19-89b98e1462dd","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","54e099c6-c1cb-441a-b194-c8853250be69","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","17c2fce5-5040-4cdf-bbbb-38bbadd13529","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","6427f2ef-b483-4f19-a8a7-6ad76763293f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","b1ecd45c-e16b-4fa1-b297-cc6f95e02954","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","49a086fa-a579-4b32-b4f9-1ed34cdbfaa4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9c65e359-e742-4d06-b196-0bffd0c4822b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","6f613248-a9e1-426f-8479-24fd5a8f1b58","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","2a8cc7d9-48fb-46e4-b09e-eb1875c30cf4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c84baa61-3803-45e4-a308-fe8eb28c0ebd","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","5e0c1cba-aa7f-4fc1-a159-dad1583f1c2f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","e067d673-b231-4bbb-818e-3a09205b714b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","069ea7e9-519b-433e-9bd7-75dba8778c90","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4dffbd65-2e21-498d-a534-2cd2e7d2b889","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","06c531fc-8d34-4f26-9b32-693ac6bb5d58","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","68ad1e82-0eac-4396-bd70-dd282f9f8919","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a2757bd9-e8f2-49d5-9a9d-d38ad9ef5758","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","34dd2ec7-5bee-416f-a7af-d0a6b345978a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","3ea9338d-69b3-4a1a-965f-289fa7a6c009","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","89419396-94a2-489a-8d00-6ff6f53da97d","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","d1e075e4-3045-4027-99af-3f9427a730be","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","71f26147-c40a-4122-98f9-a66267a79b1f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","5266568c-29f5-4da8-9d2b-c5d36d3aba61","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","3d933ebb-50b9-4e0a-af6a-da2b249df99a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","b1b08560-d290-4246-819f-57b8ef280313","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","39ed26a5-4735-4a75-bc48-310dcb73d1af","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0b6e9351-e204-4aac-8df4-602503f281ec","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a186806e-33c7-4d4f-8579-9d07e2075493","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","bf1c8c61-7d6a-4a13-ad64-c701a1755963","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a52f58af-11fe-4919-9d63-3027117e1d7b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a5aec349-f339-4c86-8bb0-bd68d1d23ec8","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0336d6fc-640d-4542-bd0a-6ca2201787e0","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4dc74792-d800-4e6b-a1d2-4d7db4a0e98a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","570a0d0e-a349-436f-a2ab-e5271a4f65dd","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","193efd36-cbc1-41b1-b626-23953c6c0f0c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","9000a8c3-27f8-464d-85d7-0a7a17aa56b1","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","37ded7d4-0f02-4442-80ea-d9f31ec57d78","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a58ac293-b054-4466-8082-9e96044df958","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","b3ed650d-d34e-404e-a01d-4c34e91cb12c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","1f599f10-c023-4f1a-84c8-a6c02b26050f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c4ff464e-0225-41d2-98d3-6a5372b3206e","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","361ffb21-f626-462e-b66b-44af9fe4d679","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","bc07bb0b-eb31-4365-8870-a35e128de9ca","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","73d88107-b7c6-4bee-a479-b93456f95f23","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","203d51d4-8291-45ef-a94f-88151dfbf12a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","98bc7825-dfdb-47eb-92fe-f443875e5303","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","55c7e92e-c2d2-4715-ac58-4cdd3983cf17","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a6c2ee7c-9245-46c1-9e63-33c6eced496b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","12814e3f-4d30-445f-b49a-977f334cb27f","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","25cb00d4-992a-4d13-86d3-e9a1a62a5e5c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","2ffb0225-f1a9-4477-be7e-a855994c3d20","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","dcdb4106-afb2-4af8-ae8c-9bfd6f2f0c5c","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","58ffd0b4-b6aa-44f0-8f43-7104ca04a52b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","582973c7-a56e-4aa7-b1a4-553d021b8784","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","f62213a7-8d7c-4f9f-84fd-0ff5964c4d6a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","e38147dd-523d-47aa-a33b-29e50e5d5506","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4f51a7a2-76f0-42eb-aaee-2d788a2797ab","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","4ea6a02c-8f27-49a7-b72e-f34caafa6f3a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","d0e8c5e2-f847-420f-b6b8-c1c2ae4540a2","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","71e0fd8e-4f90-4053-a2ff-cd6f12d1bd88","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","a2c2c5dc-324b-4dd0-b2a1-c413c85cf170","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c0c979f3-9e33-4415-9932-fc2aa0354c38","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","50b87df8-ee11-46db-bf5a-716b857450e4","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","d51625f2-2d1a-477d-ac18-ab43593dc017","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","65619510-7b64-4e9c-b02c-53dae9f74151","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","2e798993-af95-4293-8d4d-08ffbb42e6e6","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0963a8d3-017b-4820-b9bd-6e250461c0d1","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","cfe694f7-0238-4ea4-ad6c-fdb573cf0df9","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","ae3c1a32-b374-40c1-8d3e-e21952ddf53b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","ae4edbba-60f9-459d-9c75-5c554f027700","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","c1a994a6-bb3d-476f-8fe4-001af2a318cf","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","dd54447f-a273-449e-a5bb-dc5ae923db49","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","5605e122-bceb-45e6-bc8d-0bbf2612a90a","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","f1cc45b4-8106-4efb-9c90-9b12206be5c7","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","f83fcf93-b608-4ee5-a573-65955f7cbd31","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","57439109-311b-490c-bbd5-f444bc91f11b","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","5b432b4d-02e3-4863-9928-d282bcb597aa","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","b4faef5f-0d95-430c-92ee-e488afb8d260","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0ce6da19-2ba8-4121-a153-5bd910a40da5","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","84d9cd8d-52e6-48ab-a25f-0a0fa8715356","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","808b6bdc-9d83-4185-a100-954f63bad9e1","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","0c1d1488-e848-4a29-99ba-90a89a87dcde","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","8b93a4c5-4f0a-486e-bd06-e6807dde6119","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","1dcff040-3fc9-4071-a152-2d5017ca503e","Tick Pathogen Sample Condition","OK",NA
"SCBI_014.20230417","13e29c99-9ea5-4e23-b6f7-541337a6123a","Tick Pathogen Sample Condition","OK",NA
